2.296	0.000
2.990	0.000
3.025	0.035
3.032	0.068
3.037	0.096
3.040	0.124
3.044	0.154
3.049	0.190
3.053	0.223
3.057	0.257
3.068	0.362
3.069	0.387
3.072	0.415
3.081	0.447
3.084	0.482
3.088	0.511
3.091	0.540
3.096	0.571
3.098	0.595
3.101	0.621
3.105	0.645
3.109	0.670
3.113	0.696
3.116	0.724
3.121	0.751
3.124	0.778
3.131	0.807
3.137	0.838
3.144	0.865
3.153	0.889
3.164	0.914
3.175	0.937
3.193	0.962
3.220	0.983
3.245	0.991
3.269	0.994
3.293	0.994
3.318	0.995
3.343	0.996
3.368	0.996
3.394	0.996
3.421	0.997
3.447	0.997
3.474	0.997
3.502	0.998
3.530	0.998
3.558	0.998
3.587	0.999
3.617	0.999
3.647	0.999
3.677	1.000
3.708	1.000
3.739	1.000
3.771	1.000
3.804	1.000
3.837	0.999
3.871	0.998
3.906	0.991
3.937	0.988
3.964	0.979
4.002	0.963
4.038	0.945
4.073	0.922
4.102	0.898
4.125	0.873
4.148	0.848
4.168	0.824
4.188	0.799
4.208	0.773
4.227	0.749
4.245	0.725
4.264	0.700
4.285	0.676
4.303	0.652
4.324	0.627
4.347	0.600
4.375	0.574
4.423	0.536
4.424	0.000
